INSTNM,STABBR,CONTROL,COMPL_RPY_1YR_RT,PCTPELL,COSTT4_A,MD_EARN_WNE_P10,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,UGDS,PREDDEG,repayment_risk
Spartanburg Methodist College,SC,2,0.4640883978,0.6105,32183.0,42895.0,12000.0,0.4945652174,1116.0,2,0
Spartanburg Community College,SC,1,0.5957446809,0.4122,11505.0,37097.0,6500.0,0.6265060241,5006.0,1,0
Central Carolina Technical College,SC,1,0.4600550964,0.4423,13774.0,32603.0,9977.0,0.4619422572,2163.0,1,0
Tri-County Technical College,SC,1,0.5502392344,0.3566,25057.0,40101.0,9000.0,0.6150442478,5071.0,1,0
Trident Technical College,SC,1,0.4277777778,0.2824,13408.0,38253.0,13029.0,0.5098743268,10512.0,2,0
Voorhees University,SC,2,0.1486486486,0.7669,25574.0,35339.0,26700.0,0.2602739726,440.0,3,1
Winthrop University,SC,1,0.5143581081,0.4096,30710.0,47185.0,26975.0,0.5681255161,3523.0,3,0
Wofford College,SC,2,0.7586206897,0.1564,72441.0,68964.0,25732.0,0.8365019011,1816.0,3,0
York Technical College,SC,1,0.4563106796,0.3348,15395.0,37257.0,7000.0,0.4904761905,3816.0,1,0
Augustana University,SD,2,0.8918367347,0.178,55159.0,59217.0,25000.0,0.9169960474,1965.0,3,0
The Salon Professional Academy,SD,3,0.6025641026,0.4327,,23641.0,8500.0,0.65,80.0,1,0
Black Hills State University,SD,1,0.7320490368,0.2001,21277.0,46674.0,26000.0,0.7768595041,1928.0,3,0
Dakota State University,SD,1,0.8320209974,0.1681,25753.0,50970.0,23500.0,0.8564102564,2071.0,3,0
Dakota Wesleyan University,SD,2,0.7920353982,0.2712,43864.0,53728.0,27000.0,0.8277310924,670.0,3,0
Paul Mitchell the School-Rapid City,SD,3,0.5833333333,0.5692,,29547.0,7917.0,0.5684210526,66.0,1,0
Lake Area Technical College,SD,1,0.8045649073,0.2749,19637.0,45473.0,12000.0,0.8203342618,1812.0,2,0
Mitchell Technical College,SD,1,0.8090277778,0.3233,16994.0,50743.0,12000.0,0.8200692042,990.0,2,0
Mount Marty University,SD,2,0.7729257642,0.2235,48247.0,48179.0,26396.0,0.8043478261,697.0,3,0
National American University-Rapid City,SD,3,0.3993548387,0.5706,34452.0,37325.0,29020.0,0.4899117276,764.0,3,1
Northern State University,SD,1,0.8,0.1245,22077.0,47618.0,22320.0,0.8292682927,1273.0,3,0
South Dakota School of Mines and Technology,SD,1,0.9353741497,0.1687,25385.0,72257.0,27000.0,0.9568106312,2071.0,3,0
South Dakota State University,SD,1,0.8545953361,0.1682,24636.0,55070.0,23250.0,0.8886394252,9198.0,3,0
University of Sioux Falls,SD,2,0.8131067961,0.2884,34274.0,54521.0,23249.0,0.8262910798,1218.0,3,0
Southeast Technical College,SD,1,0.7091454273,0.3446,20272.0,46709.0,12000.0,0.7386196769,2310.0,2,0
University of South Dakota,SD,1,0.7768052516,0.1866,24422.0,51926.0,23592.0,0.8216783217,5439.0,3,0
Western Dakota Technical College,SD,1,0.6,0.3314,18845.0,40240.0,15000.0,0.6743119266,753.0,2,0
Austin Peay State University,TN,1,0.5589041096,0.435,22233.0,44301.0,20547.0,0.6200265252,7560.0,3,0
Baptist Health Sciences University,TN,2,0.6610738255,0.4543,22227.0,72529.0,29500.0,0.7114754098,770.0,3,0
Belmont University,TN,2,0.7746967071,0.2075,62570.0,55930.0,20500.0,0.8186397985,7137.0,3,0
Bethel University,TN,2,0.4903536977,0.317,31203.0,47482.0,27249.0,0.5416666667,1547.0,3,0
Bryan College-Dayton,TN,2,0.8255813953,0.2662,31270.0,54434.0,23000.0,0.8461538462,814.0,3,0
Carson-Newman University,TN,2,0.6785714286,0.3337,49024.0,48382.0,21500.0,0.7711442786,1387.0,3,0
Chattanooga State Community College,TN,1,0.4526123937,0.3569,13348.0,37598.0,10419.0,0.5126694166,5284.0,2,0
Christian Brothers University,TN,2,0.637037037,0.3098,48038.0,57478.0,27000.0,0.6794425087,905.0,3,0
Cleveland State Community College,TN,1,0.4783715013,0.2719,14834.0,36671.0,7954.0,0.5130023641,1975.0,1,0
Columbia State Community College,TN,1,0.6262626263,0.2978,13179.0,40256.0,8500.0,0.6634920635,3897.0,2,0
Concorde Career College-Memphis,TN,3,0.2710755814,0.8187,,31599.0,9500.0,0.2974910394,517.0,1,1
Cumberland University,TN,2,0.7066246057,0.3028,43358.0,57687.0,17952.0,0.7647058824,2104.0,3,0
Lipscomb University,TN,2,0.7761836442,0.241,55117.0,55541.0,19500.0,0.7900552486,2997.0,3,0
Dyersburg State Community College,TN,1,0.5852713178,0.3394,14329.0,36132.0,6900.0,0.6142322097,2103.0,2,0
East Tennessee State University,TN,1,0.6233470132,0.3483,27042.0,44859.0,19442.0,0.6644823067,10004.0,3,0
Chattanooga College Medical Dental and & Technical Careers,TN,3,0.2247191011,0.8078,37746.0,25954.0,7891.0,0.2670454545,252.0,1,1
Fisk University,TN,2,0.4949494949,0.5179,39450.0,45454.0,27000.0,0.5688073394,1035.0,3,0
Welch College,TN,2,0.4418604651,0.2821,37072.0,42198.0,19500.0,0.6976744186,226.0,3,0
Freed-Hardeman University,TN,2,0.7262569832,0.1802,38315.0,47485.0,21500.0,0.7741935484,1212.0,3,0
John A Gupton College,TN,2,0.5434782609,0.4,28125.0,46902.0,12610.0,0.7021276596,166.0,2,0
Johnson University,TN,2,0.734375,0.387,34244.0,40596.0,21500.0,0.7593984962,743.0,3,0
Paul Mitchell the School-Murfreesboro,TN,3,0.4226804124,0.4613,,30461.0,7917.0,0.4678663239,201.0,1,0
King University,TN,2,0.6106770833,0.4164,49004.0,59831.0,22750.0,0.6598311218,908.0,3,0
South College,TN,3,0.4760147601,0.488,30954.0,36642.0,18668.0,0.5381818182,8745.0,2,0
Lane College,TN,2,0.1108829569,0.7859,23441.0,31670.0,30500.0,0.1843137255,736.0,3,1
Lee University,TN,2,0.6658130602,0.2874,35688.0,43222.0,25750.0,0.7121771218,2617.0,3,0
Lincoln Memorial University,TN,2,0.6550079491,0.3713,41530.0,49956.0,20000.0,0.6888217523,1572.0,3,0
The University of Tennessee Southern,TN,1,0.5884955752,0.3626,24750.0,38924.0,21500.0,0.6208333333,864.0,3,0
Maryville College,TN,2,0.6756756757,0.3774,54622.0,49279.0,25375.0,0.75,1005.0,3,0
Genesis Career College-Cookeville,TN,3,0.304,0.829,,22652.0,6343.0,0.335106383,300.0,1,1
University of Memphis,TN,1,0.4740181269,0.4122,25169.0,48458.0,23300.0,0.5245478036,12701.0,3,0
Middle Tennessee State University,TN,1,0.5801590624,0.3177,24289.0,48541.0,20000.0,0.6395680522,16301.0,3,0
Motlow State Community College,TN,1,0.6032608696,0.2821,24326.0,40397.0,,0.6451612903,3962.0,2,0
Lincoln College of Technology-Nashville,TN,3,0.4795890031,0.58,,46396.0,11730.0,0.4979276043,967.0,1,0
Nashville State Community College,TN,1,0.4648829431,0.3298,14385.0,38519.0,9595.0,0.5182829889,5653.0,2,0
Rhodes College,TN,2,0.8685258964,0.1593,71136.0,66651.0,21761.0,0.8828125,1836.0,3,0
Roane State Community College,TN,1,0.5766738661,0.275,13397.0,39407.0,8454.0,0.6252587992,3250.0,2,0
The University of the South,TN,2,0.8009478673,0.1585,71986.0,64911.0,22855.0,0.8727272727,1607.0,3,0
Pellissippi State Community College,TN,1,0.4419817471,0.2444,13431.0,38440.0,8725.0,0.5302663438,6715.0,2,0
Southern Adventist University,TN,2,0.7095343681,0.3063,38618.0,53723.0,24500.0,0.762993763,2773.0,3,0
Tennessee Wesleyan University,TN,2,0.647761194,0.3921,39440.0,45989.0,20000.0,0.7122093023,846.0,3,0
The University of Tennessee-Chattanooga,TN,1,0.6456009913,0.328,25489.0,51151.0,19500.0,0.7022767075,10074.0,3,0
The University of Tennessee-Knoxville,TN,1,0.7138253303,0.1889,33678.0,60249.0,20500.0,0.7649414664,30418.0,3,0
The University of Tennessee-Martin,TN,1,0.6045156591,0.3442,23079.0,44213.0,21024.0,0.686452514,4866.0,3,0
Tennessee State University,TN,1,0.382414515,0.5113,25637.0,42730.0,27000.0,0.4868509777,4848.0,3,1
Tennessee Technological University,TN,1,0.7214783074,0.309,25663.0,48501.0,15650.0,0.7626858022,8698.0,3,0
Trevecca Nazarene University,TN,2,0.6811594203,0.3229,41548.0,49378.0,18744.0,0.7432432432,1737.0,3,0
Northeast State Community College,TN,1,0.5103244838,0.3631,15793.0,34553.0,6827.0,0.5972222222,4404.0,2,0
Tusculum University,TN,2,0.5134228188,0.4637,43776.0,44367.0,23250.0,0.6165289256,785.0,3,0
Union University,TN,2,0.7366863905,0.2454,58363.0,53990.0,20714.0,0.7733711048,1607.0,3,0
Vanderbilt University,TN,2,0.8227146814,0.2022,89590.0,91565.0,14000.0,0.8596256684,7208.0,3,0
Volunteer State Community College,TN,1,0.6490872211,0.3331,16401.0,41150.0,7550.0,0.6717850288,5339.0,2,0
Walters State Community College,TN,1,0.6052631579,0.304,14313.0,37085.0,,0.6317460317,3591.0,2,0
Abilene Christian University,TX,2,0.790513834,0.2233,59256.0,55736.0,24250.0,0.8179519595,3195.0,3,0
Alvin Community College,TX,1,0.6403508772,0.2523,16962.0,45762.0,4519.0,0.6612903226,3342.0,2,0
Amarillo College,TX,1,0.5324503311,0.4405,10854.0,41302.0,15000.0,0.601010101,7399.0,2,0
Angelo State University,TX,1,0.6790009251,0.2764,23441.0,50116.0,20000.0,0.7382012467,5643.0,3,0
Arlington Baptist University,TX,2,0.5666666667,0.5309,33424.0,44644.0,27000.0,0.5806451613,284.0,3,0
Arlington Career Institute,TX,3,0.2727272727,0.5696,,36674.0,8347.0,0.3465909091,562.0,1,1
Austin College,TX,2,0.7653958944,0.3085,61607.0,61296.0,24500.0,0.7891737892,1165.0,3,0
Austin Community College District,TX,1,0.6225961538,0.2436,15190.0,43177.0,10499.0,0.6834862385,30189.0,2,0
Baptist Health System School of Health Professions,TX,3,0.630952381,0.5305,,74220.0,18592.0,0.656612529,575.0,2,0
Baylor University,TX,2,0.793902439,0.1245,74226.0,65793.0,23000.0,0.8100730488,14785.0,3,0
Blinn College District,TX,1,0.6091743119,0.2105,15252.0,46318.0,11500.0,0.653516295,15535.0,2,0
Remington College-Dallas Campus,TX,2,0.2807665666,0.6635,35534.0,31349.0,13271.0,0.3077625571,250.0,1,1
Vet Tech Institute of Houston,TX,3,0.6740088106,0.5632,19973.0,35765.0,12000.0,0.6824034335,200.0,2,0
Central Texas College,TX,1,0.544973545,0.3707,13822.0,40995.0,6750.0,0.5517241379,6247.0,2,0
Cisco College,TX,1,0.3703703704,0.2582,17469.0,39092.0,9500.0,0.3793103448,1620.0,2,1
Clarendon College,TX,1,0.4568965517,0.2107,14589.0,38696.0,11000.0,0.4824561404,1520.0,1,0
Concordia University Texas,TX,2,0.6366047745,0.4142,53020.0,60883.0,21852.0,0.6829896907,1185.0,3,0
North Central Texas College,TX,1,0.5551470588,0.2143,10200.0,45809.0,11250.0,0.6040955631,5863.0,2,0
Texas A & M University-Corpus Christi,TX,1,0.6370633511,0.429,25210.0,51865.0,23000.0,0.6681948424,8034.0,3,0
Paul Mitchell the School-Dallas,TX,3,0.4456035768,0.4337,,28693.0,8505.0,0.5074183976,328.0,1,0
Dallas Baptist University,TX,2,0.6216545012,0.2305,52716.0,56807.0,21591.0,0.6728754366,2403.0,3,0
Dallas Christian College,TX,2,0.5070422535,0.4856,34502.0,43503.0,24912.0,0.6338028169,224.0,3,0
Dallas Institute of Funeral Service,TX,2,0.5342465753,0.2665,27708.0,45866.0,12820.0,0.5131578947,454.0,2,0
University of Dallas,TX,2,0.8511450382,0.2593,68583.0,58285.0,23117.0,0.8316151203,1403.0,3,0
Del Mar College,TX,1,0.572519084,0.3349,12895.0,38656.0,5500.0,0.6166666667,9501.0,2,0
East Texas Baptist University,TX,2,0.7238493724,0.3219,44211.0,52788.0,23250.0,0.7550200803,1352.0,3,0
Texas A&M University-Texarkana,TX,1,0.584375,0.5251,23778.0,45515.0,18953.0,0.6340694006,1982.0,3,0
East Texas A&M University,TX,1,0.5153521975,0.4047,23438.0,50296.0,20500.0,0.5898942421,9912.0,3,0
El Paso Community College,TX,1,0.5023584906,0.3655,13337.0,35212.0,6566.0,0.5283842795,24214.0,2,0
Western Technical College,TX,3,0.2800632911,0.4853,,36156.0,17277.0,0.3173374613,600.0,2,1
Western Technical College,TX,3,0.2800632911,0.1903,,36156.0,17277.0,0.3173374613,1206.0,1,1
Frank Phillips College,TX,1,0.4615384615,0.262,12877.0,37179.0,9500.0,0.5066666667,623.0,1,0
Galveston College,TX,1,0.3719008264,0.4059,15338.0,37233.0,10311.0,0.4344262295,1528.0,1,1
Grayson College,TX,1,0.4759916493,0.3221,14866.0,40873.0,12250.0,0.5182926829,3075.0,1,0
Hallmark University,TX,2,0.3689320388,0.5274,,40183.0,25438.0,0.4329411765,769.0,3,1
Hardin-Simmons University,TX,2,0.7358916479,0.4006,45904.0,54771.0,24711.0,0.7777777778,1283.0,3,0
Trinity Valley Community College,TX,1,0.4340527578,0.2977,14467.0,38567.0,10426.0,0.4931506849,5655.0,1,0
Hill College,TX,1,0.3840304183,0.3145,13417.0,39572.0,10000.0,0.4119850187,2253.0,2,1
Houston Christian University,TX,2,0.7049608355,0.5554,50082.0,55933.0,22642.0,0.7539267016,2886.0,3,0
University of Houston-Clear Lake,TX,1,0.5978835979,0.4524,24622.0,59004.0,17831.0,0.6534823732,6078.0,3,0
Houston Community College,TX,1,0.3841131665,0.3574,12009.0,39254.0,13921.0,0.451,40503.0,2,1
University of Houston-Downtown,TX,1,0.5496804184,0.5522,20749.0,53551.0,18750.0,0.6153846154,12555.0,3,0
University of Houston-Victoria,TX,1,0.6797385621,0.4893,21401.0,54467.0,18973.0,0.6956521739,2513.0,3,0
University of Houston,TX,1,0.7062987838,0.4165,26185.0,62377.0,18194.0,0.7521023125,38380.0,3,0
Howard College,TX,1,0.5100671141,0.2369,13858.0,38382.0,9500.0,0.5836065574,1611.0,2,0
Howard Payne University,TX,2,0.6798029557,0.4427,46766.0,48376.0,26793.0,0.779342723,713.0,3,0
Huston-Tillotson University,TX,2,0.3170731707,0.6122,25384.0,42937.0,30750.0,0.5056179775,1005.0,3,1
University of the Incarnate Word,TX,2,0.5089992801,0.446,48681.0,56733.0,27000.0,0.5828611898,4440.0,3,0
Jarvis Christian University,TX,2,0.2361111111,0.5877,25185.0,32992.0,27000.0,0.3552631579,577.0,3,1
KD Conservatory College of Film and Dramatic Arts,TX,3,0.2892561983,0.3617,29037.0,30187.0,12750.0,0.3577235772,70.0,2,1
Kilgore College,TX,1,0.4503703704,0.3173,14080.0,37975.0,14967.0,0.492816092,3215.0,2,0
Lamar University,TX,1,0.5645067134,0.4649,22254.0,49652.0,21250.0,0.6316989738,8150.0,3,0
Lamar State College-Orange,TX,1,0.5079365079,0.222,7264.0,36587.0,10959.0,0.4948979592,1391.0,1,0
Lamar State College-Port Arthur,TX,1,0.4180327869,0.2054,10754.0,37120.0,13250.0,0.427480916,1508.0,2,0
Laredo College,TX,1,0.4608695652,0.3872,11469.0,33934.0,2959.0,0.5086206897,5818.0,2,0
Texas A & M International University,TX,1,0.6283595922,0.6451,15558.0,48386.0,15000.0,0.6807935077,6667.0,3,0
Lee College,TX,1,0.5454545455,0.3531,12107.0,42178.0,7500.0,0.579787234,5116.0,1,0
LeTourneau University,TX,2,0.6132858837,0.1329,51124.0,57103.0,26000.0,0.678866588,1468.0,3,0
Lincoln College of Technology-Grand Prairie,TX,3,0.4795890031,0.6263,,46396.0,11730.0,0.4979276043,1539.0,1,0
Lubbock Christian University,TX,2,0.6375838926,0.3432,41944.0,53787.0,20948.0,0.6659707724,1252.0,3,0
College of the Mainland,TX,1,0.4605263158,0.2711,8357.0,39639.0,5960.0,0.4054054054,3368.0,2,0
University of Mary Hardin-Baylor,TX,2,0.68723099,0.3965,46874.0,56132.0,26000.0,0.747545582,2759.0,3,0
McLennan Community College,TX,1,0.4283887468,0.3794,12920.0,39163.0,10500.0,0.4987623762,5668.0,2,0
McMurry University,TX,2,0.6016949153,0.2382,43778.0,48779.0,27000.0,0.6586021505,1176.0,3,0
Covenant School of Nursing and Allied Health,TX,2,0.6121212121,0.4431,,78724.0,12969.0,0.7005988024,360.0,1,0
Midland College,TX,1,0.5833333333,0.2121,12707.0,43958.0,10670.0,0.7301587302,5542.0,1,0
Midwestern State University,TX,1,0.6448942042,0.4065,22652.0,55747.0,21030.0,0.703336339,4087.0,3,0
Wade College,TX,3,0.25,0.6552,25506.0,36657.0,22938.0,0.2589928058,252.0,3,1
Southern Careers Institute-Austin,TX,3,0.1898366606,0.6031,,27035.0,8708.0,0.2242314647,746.0,1,1
Tint School of Makeup & Cosmetology,TX,3,0.4098360656,0.4756,,26381.0,6333.0,0.4227642276,44.0,1,0
Navarro College,TX,1,0.3759398496,0.3049,18757.0,38716.0,11000.0,0.4273709484,3781.0,2,1
Lone Star College System,TX,1,0.5045417011,0.2331,15521.0,42466.0,8600.0,0.556231003,45188.0,2,0
University of North Texas,TX,1,0.6289317733,0.3804,26243.0,57010.0,19250.0,0.6744598994,34341.0,3,0
Northeast Texas Community College,TX,1,0.4316939891,0.3971,13564.0,37870.0,10946.0,0.4892473118,1973.0,2,0
Ocean Corporation,TX,3,0.4773584906,0.2948,,53474.0,9500.0,0.4858757062,192.0,1,0
Odessa College,TX,1,0.6266666667,0.2152,13086.0,42026.0,7750.0,0.6184210526,4654.0,2,0
Ogle School Hair Skin Nails-Arlington,TX,3,0.3516260163,0.6936,,31055.0,7917.0,0.377016129,374.0,1,1
Ogle School Hair Skin Nails-Ft Worth,TX,3,0.3385049365,0.6536,,26885.0,7917.0,0.3891213389,500.0,1,1
Our Lady of the Lake University,TX,2,0.4765784114,0.5719,42865.0,48675.0,24999.0,0.5836575875,1066.0,3,0
The University of Texas Rio Grande Valley,TX,1,0.5686619718,0.6508,16830.0,49620.0,12950.0,0.6182190379,28666.0,3,0
Texas Southmost College,TX,1,0.4803978935,0.2842,10999.0,41900.0,9000.0,0.5664575014,3372.0,2,0
Panola College,TX,1,0.6054054054,0.3077,13654.0,36072.0,10500.0,0.6216216216,1388.0,1,0
Paris Junior College,TX,1,0.4191419142,0.2567,13626.0,36515.0,5342.0,0.4705882353,2204.0,1,0
Paul Quinn College,TX,2,0.34375,0.6728,23587.0,29288.0,23373.0,,620.0,3,1
Prairie View A & M University,TX,1,0.4203470032,0.656,26362.0,45411.0,27000.0,0.4876404494,8877.0,3,0
Ranger College,TX,1,0.4186046512,0.1677,15017.0,35552.0,9500.0,0.4662921348,971.0,2,0
Aviation Institute of Maintenance-Houston,TX,3,0.4432989691,0.331,29992.0,58327.0,31875.0,0.4845360825,360.0,1,0
Rice University,TX,2,0.8827160494,0.1703,79788.0,89718.0,11000.0,0.907120743,4776.0,3,0
Saint Edward's University,TX,2,0.6669658887,0.4237,66719.0,58826.0,24803.0,0.7261592301,2493.0,3,0
St Philip's College,TX,1,0.484939759,0.2195,11985.0,38224.0,9500.0,0.5126760563,12914.0,1,0
University of St Thomas,TX,2,0.6456953642,0.4164,45672.0,59224.0,19928.0,0.6942675159,3220.0,3,0
Sam Houston State University,TX,1,0.6706120092,0.4133,25505.0,54211.0,21983.0,0.7226173542,17743.0,3,0
San Antonio College,TX,1,0.4547461369,0.3427,12343.0,39711.0,10500.0,0.5479166667,16416.0,2,0
San Jacinto Community College,TX,1,0.4805194805,0.3176,21293.0,43062.0,9500.0,0.5275908479,22969.0,2,0
Schreiner University,TX,2,0.6327868852,0.4379,48004.0,52228.0,23250.0,0.7227722772,1053.0,3,0
Seguin Beauty School-Seguin,TX,3,0.52,0.64,,21891.0,9995.0,0.5205479452,38.0,1,0
St. Mary's University,TX,2,0.5747508306,0.3861,47999.0,56955.0,25563.0,0.6326530612,1951.0,3,0
South Plains College,TX,1,0.4779050736,0.3846,13784.0,41276.0,10500.0,0.531107739,6005.0,2,0
South Texas Vocational Technical Institute-Weslaco,TX,3,0.3793103448,0.8359,,31102.0,15917.0,0.3974763407,521.0,1,1
Miller-Motte College-STVT-McAllen,TX,3,0.3793103448,0.7884,,31102.0,15917.0,0.3974763407,546.0,1,1
Southern Methodist University,TX,2,0.7826576577,0.1276,85606.0,78354.0,19500.0,0.8103070175,7277.0,3,0
Southwest Texas College,TX,1,0.4514925373,0.3323,13554.0,35563.0,6200.0,0.4472727273,3306.0,2,0
Nelson University,TX,2,0.6212121212,0.478,34504.0,46238.0,24725.0,0.6624472574,1479.0,3,0
Southwestern University,TX,2,0.7533783784,0.2533,67493.0,56878.0,25000.0,0.8083067093,1440.0,3,0
Stephen F Austin State University,TX,1,0.6372785829,0.3887,25791.0,49634.0,23409.0,0.7031620553,8728.0,3,0
Texas State University,TX,1,0.6256501951,0.3724,28073.0,56906.0,21000.0,0.6874207858,36177.0,3,0
Southwestern Adventist University,TX,2,0.6285714286,0.4211,35592.0,52946.0,26998.0,0.7260273973,570.0,3,0
Sul Ross State University,TX,1,0.4968944099,0.5774,24529.0,41871.0,15900.0,0.5562130178,1396.0,3,0
Tarleton State University,TX,1,0.6273323248,0.344,24100.0,53040.0,19606.0,0.694982613,12673.0,3,0
Tarrant County College District,TX,1,0.4900314795,0.274,11130.0,42727.0,9104.0,0.5318138651,42300.0,2,0
Temple College,TX,1,0.4991150442,0.3474,14200.0,38678.0,12813.0,0.5511945392,3178.0,2,0
The University of Texas Health Science Center at San Antonio,TX,1,0.84082397,0.3333,,82206.0,15000.0,0.8639705882,930.0,3,0
The University of Texas Medical Branch at Galveston,TX,1,0.823943662,0.3363,,92961.0,13396.0,0.8079470199,545.0,3,0
Texarkana College,TX,1,0.3333333333,0.263,15998.0,34647.0,10500.0,0.3333333333,1502.0,1,1
Texas A&M University-Kingsville,TX,1,0.5595045773,0.5273,24060.0,51450.0,22934.0,0.6335436383,4748.0,3,0
Texas A&M University-College Station,TX,1,0.8624966658,0.1964,32696.0,72097.0,17804.0,0.8852142581,59615.0,3,0
The University of Texas at Arlington,TX,1,0.663788352,0.423,25261.0,63199.0,17527.0,0.704252691,32294.0,3,0
The University of Texas at Austin,TX,1,0.7975434723,0.2585,31247.0,75121.0,20500.0,0.8304429029,42855.0,3,0
The University of Texas at Dallas,TX,1,0.6930091185,0.2997,29807.0,68227.0,18000.0,0.735738255,21751.0,3,0
The University of Texas at El Paso,TX,1,0.5660167131,0.6161,19836.0,50923.0,18000.0,0.6298701299,21005.0,3,0
The University of Texas at Tyler,TX,1,0.701598579,0.3974,24505.0,57053.0,17137.0,0.7242268041,7440.0,3,0
Texas Christian University,TX,2,0.7952415285,0.1432,76604.0,68424.0,21500.0,0.8313422347,11026.0,3,0
Texas College,TX,2,0.2631578947,0.8383,20339.0,33752.0,31000.0,0.3357142857,614.0,3,1
Texas Lutheran University,TX,2,0.711038961,0.3462,50002.0,53863.0,25000.0,0.802507837,1304.0,3,0
The University of Texas Permian Basin,TX,1,0.6722532588,0.3869,23886.0,56073.0,17750.0,0.7321100917,3911.0,3,0
The University of Texas at San Antonio,TX,1,0.6003165809,0.4406,22352.0,57131.0,20500.0,0.6622932116,30580.0,3,0
Texas Southern University,TX,1,0.3699085619,0.7226,27052.0,38924.0,29000.0,0.4875100725,6844.0,3,1
Texas Tech University,TX,1,0.7342964824,0.2775,27443.0,62454.0,21500.0,0.7769886364,32394.0,3,0
Texas Wesleyan University,TX,2,0.4834605598,0.4471,57451.0,54053.0,23125.0,0.5525672372,1741.0,3,0
Texas Woman's University,TX,1,0.6327160494,0.4201,22234.0,56544.0,19218.0,0.6957831325,8767.0,3,0
Trinity University,TX,2,0.8668341709,0.1877,68224.0,71668.0,22954.0,0.9170731707,2505.0,3,0
The University of Texas Health Science Center at Houston,TX,1,0.8712446352,0.5087,,88757.0,13063.0,0.8755364807,465.0,3,0
Texas Tech University Health Sciences Center,TX,1,0.8093994778,0.2656,,92348.0,12268.0,0.815403423,1482.0,3,0
Tyler Junior College,TX,1,0.4795042898,0.3574,16654.0,38140.0,11995.0,0.5428571429,9087.0,2,0
Universal Technical Institute of Texas Inc.,TX,3,0.5628328009,0.5984,,51222.0,14267.0,0.5864082825,2632.0,2,0
UCAS University of Cosmetology Arts & Sciences-McAllen,TX,3,0.4154228856,0.4779,,19880.0,6447.0,0.4373464373,53.0,1,0
Vernon College,TX,1,0.5194508009,0.4176,14564.0,40464.0,11000.0,0.5578231293,2113.0,2,0
Victoria Beauty & Barber College,TX,3,0.4754098361,0.549,,18831.0,9500.0,0.5238095238,73.0,1,0
Victoria College,TX,1,0.5457627119,0.365,10514.0,42382.0,10500.0,0.5775577558,2351.0,2,0
Wayland Baptist University,TX,2,0.5447284345,0.457,36323.0,51838.0,23106.0,0.6094224924,2041.0,3,0
Weatherford College,TX,1,0.5187713311,0.2553,15978.0,42397.0,9948.0,0.5608108108,5094.0,2,0
West Texas A & M University,TX,1,0.6432973806,0.4111,23482.0,50741.0,19500.0,0.7,6917.0,3,0
Western Texas College,TX,1,0.484375,0.0992,13335.0,42508.0,7515.0,0.6307692308,599.0,2,0
Wharton County Junior College,TX,1,0.5400516796,0.2738,11463.0,44960.0,7703.0,0.564792176,4585.0,2,0
Wiley University,TX,2,0.3711340206,0.7893,19097.0,33159.0,24989.0,0.4365482234,712.0,3,1
Brigham Young University,UT,2,0.8511059756,0.321,22690.0,75790.0,11069.0,0.8699808795,32952.0,3,0
Brigham Young University-Hawaii,HI,2,0.7409090909,0.151,25098.0,52064.0,9413.0,0.8033472803,2889.0,3,0
Cameo College of Essential Beauty,UT,3,0.6259541985,0.2984,,32364.0,5500.0,0.6259541985,257.0,1,0
Utah Tech University,UT,1,0.660899654,0.2208,20763.0,44570.0,15000.0,0.6953642384,8552.0,1,0
Paul Mitchell the School-Salt Lake City,UT,3,0.5071633238,0.3606,,26893.0,9500.0,0.5242165242,287.0,1,0
Eagle Gate College-Murray,UT,3,0.2874109264,0.308,33765.0,37518.0,43021.0,0.3806146572,351.0,3,1
Ensign College,UT,2,0.7461139896,0.082,14145.0,50630.0,,0.7476635514,7568.0,1,0
Snow College,UT,1,0.7142857143,0.2267,12514.0,41022.0,7000.0,0.7547169811,3549.0,2,0
Southern Utah University,UT,1,0.7738478028,0.2488,19416.0,50296.0,12500.0,0.8113402062,9289.0,2,0
Utah State University,UT,1,0.8027210884,0.2578,21654.0,54022.0,14340.0,0.8412353197,20272.0,1,0
Utah Valley University,UT,1,0.7458423717,0.2292,14765.0,55486.0,14750.0,0.7787889394,28453.0,2,0
Salt Lake Community College,UT,1,0.7131782946,0.1681,14417.0,47867.0,8003.0,0.7587412587,18136.0,2,0
University of Utah,UT,1,0.7710428798,0.1959,25557.0,67170.0,19000.0,0.8126582278,27264.0,3,0
Weber State University,UT,1,0.7897037397,0.1652,16035.0,56287.0,15113.0,0.8348193336,16360.0,2,0
Westminster University,UT,2,0.7696737044,0.2447,57616.0,66215.0,22250.0,0.8205607477,823.0,3,0
Bennington College,VT,2,0.7941176471,0.2527,87284.0,38289.0,26000.0,0.8045977011,780.0,3,0
Champlain College,VT,2,0.8020679468,0.2502,65009.0,58386.0,26814.0,0.8323782235,2752.0,3,0
Community College of Vermont,VT,1,0.5760598504,0.295,21123.0,36234.0,10491.0,0.6082949309,2841.0,2,0
Middlebury College,VT,2,0.8601190476,0.1589,85880.0,76310.0,13857.0,0.8947368421,2738.0,3,0
Norwich University,VT,2,0.8565891473,0.2441,67357.0,65575.0,25000.0,0.8886792453,2428.0,3,0
Saint Michael's College,VT,2,0.8611599297,0.2368,69079.0,61317.0,26922.0,0.8971631206,1092.0,3,0
Vermont State University,VT,1,0.8242245199,0.3413,25988.0,50331.0,15000.0,0.850877193,3590.0,3,0
